ProductID,ProductName,Category,Price,Quantity
20001,Laptop,Electronics,700,5000
20002,Mobile Phone,Electronics,400,8000
20003,Refrigerator,Home Appliance,900,3000
20004,Air Conditioner,Home Appliance,600,2500
20005,Washing Machine,Home Appliance,500,4000
20006,Television,Electronics,450,7000
20007,Microwave Oven,Home Appliance,200,6000
20008,Smart Watch,Electronics,150,9000
20009,Blender,Home Appliance,100,3500
20010,Vacuum Cleaner,Home Appliance,250,4500
20011,Tablet,Electronics,300,5000
20012,Headphones,Electronics,80,10000
20013,Printer,Electronics,120,4000
20014,Camera,Electronics,500,3000
20015,Smart Speaker,Electronics,100,7000
20016,Gaming Console,Electronics,350,2000
20017,Monitor,Electronics,200,6000
20018,Keyboard,Electronics,50,8000
20019,Mouse,Electronics,30,10000
20020,External Hard Drive,Electronics,100,5000
