ShipmentID,Date,Origin,Destination,ProductID,Quantity,SupplierID,TransportMode
10001,2024-01-01,Shanghai,Los Angeles,20001,1000,30001,Sea
10002,2024-01-03,Hamburg,New York,20002,500,30002,Air
10003,2024-01-05,Rotterdam,Miami,20003,750,30003,Sea
10004,2024-01-07,Tokyo,San Francisco,20004,1200,30004,Air
10005,2024-01-10,Mumbai,Houston,20005,1100,30005,Sea
10006,2024-01-12,Singapore,Seattle,20006,650,30006,Air
10007,2024-01-15,Busan,Los Angeles,20007,850,30007,Sea
10008,2024-01-17,Antwerp,Chicago,20008,900,30008,Air
10009,2024-01-20,Santos,New Orleans,20009,1300,30009,Sea
10010,2024-01-22,Sydney,San Diego,20010,1400,30010,Air
10011,2024-01-25,Hong Kong,Vancouver,20011,1500,30011,Sea
10012,2024-01-28,Dubai,Toronto,20012,1600,30012,Air
10013,2024-01-30,Rotterdam,Houston,20013,1000,30013,Sea
10014,2024-02-01,Tokyo,Los Angeles,20014,800,30014,Air
10015,2024-02-04,Mumbai,New York,20015,1100,30015,Sea
10016,2024-02-07,Singapore,Miami,20016,650,30016,Air
10017,2024-02-10,Busan,San Francisco,20017,850,30017,Sea
10018,2024-02-13,Antwerp,Houston,20018,900,30018,Air
10019,2024-02-15,Santos,Seattle,20019,1300,30019,Sea
10020,2024-02-18,Sydney,Chicago,20020,1400,30020,Air
